Coin,Price,Time
ethereum,2658.13,2026-01-09 12:23:07.614491
ethereum,2661.43,2026-01-09 12:23:12.719571
ethereum,2661.05,2026-01-09 12:23:18.216227
ethereum,2661.14,2026-01-09 12:23:23.462905
ethereum,2660.68,2026-01-09 12:23:35.298279
ethereum,2660.37,2026-01-09 12:23:38.551582
ethereum,2660.33,2026-01-09 12:23:42.569796
ethereum,2660.28,2026-01-09 12:23:47.965323
ethereum,2660.8,2026-01-09 12:23:53.121752
ethereum,2660.89,2026-01-09 12:23:57.677012
ethereum,2660.41,2026-01-09 12:24:03.021209
ethereum,2660.36,2026-01-09 12:24:08.274827
ethereum,2660.47,2026-01-09 12:24:12.801506
ethereum,2660.68,2026-01-09 12:24:17.891678
ethereum,2660.59,2026-01-09 12:24:27.827111
ethereum,2660.61,2026-01-09 12:24:32.843431
ethereum,2660.59,2026-01-09 12:24:37.952110
ethereum,2660.43,2026-01-09 12:24:47.760441
ethereum,2660.32,2026-01-09 12:24:57.805012
ethereum,2660.36,2026-01-09 12:25:03.091536
ethereum,2660.31,2026-01-09 12:25:08.148352
ethereum,2660.41,2026-01-09 12:25:12.797066
ethereum,2660.22,2026-01-09 12:25:18.019061
ethereum,2660.42,2026-01-09 12:25:23.088737
ethereum,2659.39,2026-01-09 12:25:27.806518
ethereum,2659.4,2026-01-09 12:25:33.000589
ethereum,2659.65,2026-01-09 12:25:37.899059
ethereum,2659.72,2026-01-09 12:25:43.237271
ethereum,2757.17,2026-01-13 21:04:05.031676
ethereum,2759.93,2026-01-13 21:04:09.283261
ethereum,2759.73,2026-01-13 21:04:14.558127
ethereum,2759.86,2026-01-13 21:04:18.784817
ethereum,2760.33,2026-01-13 21:04:23.172407
ethereum,2760.27,2026-01-13 21:04:27.650878
ethereum,2829.01,2026-01-15 20:00:31.987395
ethereum,2828.95,2026-01-15 20:00:36.280603
ethereum,2829.19,2026-01-15 20:00:41.537400
ethereum,2828.97,2026-01-15 20:00:46.768489
